Gene_ID,Gene_name,Fourier_score,P_value,FDR
YDR025W,RPS11A,7.54981568277733,0.0042,0.127597826086957
YHR105W,YPT35,7.70568203556209,0.00425,0.127604188481675
YJL145W,SFH5,7.75433157110769,0.0043,0.127604188481675
YDR142C,PEX7,7.73193811059935,0.00431,0.127604188481675
YDR470C,UGO1,7.76875740574133,0.00434,0.127604188481675
YMR125W,STO1,7.18779560499446,0.00436,0.127604188481675
YNL160W,YGP1,7.51938980564931,0.00436,0.127604188481675
YOR096W,RPS7A,7.37743452472012,0.00436,0.127604188481675
YLL046C,RNP1,7.29689267762173,0.00439,0.127813020833333
YML054C-A,YML054C-A,7.75300697538862,0.00451,0.130146666666667
YOR234C,RPL33B,7.55978048588822,0.00452,0.130146666666667
YGL197W,MDS3,7.23774418552876,0.00454,0.130146666666667
YDR495C,VPS3,7.66622881059949,0.00464,0.1322035
YGR013W,SNU71,7.12154038315818,0.00466,0.1322035
